epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.726362407207489,9.999999747378752e-06,0.8385096192359924,0.7861538529396057,0.6594534516334534
1,0.7571731209754944,9.999999747378752e-06,0.7478625178337097,0.8046153783798218,0.641679584980011
2,0.7621798515319824,9.999999747378752e-06,0.7315237522125244,0.8199999928474426,0.5873227119445801
3,0.7646832466125488,9.999999747378752e-06,0.7035267949104309,0.8276923298835754,0.5529177188873291
4,0.7729635834693909,9.999999747378752e-06,0.6731417179107666,0.8338461518287659,0.5351603031158447
5,0.7822068333625793,9.999999747378752e-06,0.6454045176506042,0.8338461518287659,0.5287402868270874
6,0.786443293094635,9.999999747378752e-06,0.6282815933227539,0.8353846073150635,0.5218425989151001
7,0.7906797528266907,9.999999747378752e-06,0.6159763336181641,0.8338461518287659,0.5175200700759888
8,0.7997304201126099,9.999999747378752e-06,0.610374391078949,0.8415384888648987,0.5134010910987854
9,0.8110918402671814,9.999999747378752e-06,0.5820253491401672,0.8415384888648987,0.5076912045478821
10,0.8083959221839905,9.999999747378752e-06,0.581365704536438,0.8384615182876587,0.5055776834487915
11,0.810321569442749,9.999999747378752e-06,0.5738810300827026,0.8369230628013611,0.5027157068252563
12,0.8170614242553711,9.999999747378752e-06,0.5477083325386047,0.8430769443511963,0.49501651525497437
13,0.8234161138534546,9.999999747378752e-06,0.534940242767334,0.8461538553237915,0.49254193902015686
14,0.830348551273346,9.999999747378752e-06,0.5303061604499817,0.8461538553237915,0.4873124957084656
