epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4170999526977539,0.0003000000142492354,1.8906563520431519,0.6907692551612854,1.0810335874557495
1,0.6476025581359863,0.0003000000142492354,1.106293797492981,0.7507692575454712,0.8169931173324585
2,0.7082611322402954,0.0003000000142492354,0.8926754593849182,0.7769230604171753,0.7108668684959412
3,0.7359907627105713,0.0003000000142492354,0.8081409931182861,0.7984615564346313,0.658758282661438
4,0.7552474737167358,0.0003000000142492354,0.7665859460830688,0.8169230818748474,0.6155267357826233
5,0.7743116021156311,0.0003000000142492354,0.702438235282898,0.8199999928474426,0.6000834107398987
6,0.786443293094635,0.0003000000142492354,0.6542311906814575,0.8199999928474426,0.5777776837348938
7,0.7968419194221497,0.0003000000142492354,0.6293810606002808,0.829230785369873,0.5454347729682922
8,0.8058925271034241,0.0003000000142492354,0.5984330773353577,0.8215384483337402,0.5420631766319275
9,0.8157134652137756,0.0003000000142492354,0.5687492489814758,0.8323076963424683,0.531614363193512
10,0.8151357769966125,0.0003000000142492354,0.5595853328704834,0.8369230628013611,0.5166719555854797
11,0.8282303214073181,0.0003000000142492354,0.5398320555686951,0.8430769443511963,0.5079057812690735
12,0.8274600505828857,0.0003000000142492354,0.5242388248443604,0.8430769443511963,0.49692606925964355
13,0.829193115234375,0.0003000000142492354,0.5064554810523987,0.8446153998374939,0.5108009576797485
14,0.8293856978416443,0.0003000000142492354,0.5076951384544373,0.8492307662963867,0.49214693903923035
